iter	Passed	Remaining
0	4	4290
1	5	2955
2	7	2450
3	8	2213
4	10	2067
5	11	1979
6	13	1906
7	15	1866
8	17	1913
9	19	1948
10	21	1943
11	23	1913
12	24	1893
13	26	1874
14	28	1863
15	30	1853
16	33	1923
17	35	1958
18	37	1953
19	39	1951
20	42	1967
21	44	1961
22	45	1943
23	48	1975
24	50	1957
25	51	1937
26	53	1920
27	54	1905
28	56	1891
29	58	1879
30	59	1867
31	61	1862
32	64	1885
33	65	1872
34	67	1857
35	68	1843
36	70	1832
37	72	1825
38	73	1816
39	75	1806
40	77	1821
41	79	1824
42	81	1813
43	83	1803
44	84	1793
45	86	1787
46	87	1777
47	89	1771
48	90	1763
49	94	1804
50	96	1801
51	98	1792
52	99	1785
53	101	1775
54	102	1769
55	104	1764
56	106	1758
57	109	1773
58	110	1767
59	112	1760
60	113	1753
61	115	1746
62	117	1741
63	118	1733
64	119	1725
65	121	1723
66	123	1716
67	124	1711
68	126	1712
69	128	1708
70	130	1701
71	131	1696
72	133	1689
73	134	1684
74	136	1679
75	137	1673
76	139	1668
77	140	1666
78	143	1672
79	144	1667
80	146	1663
81	148	1659
82	149	1646
83	150	1643
84	152	1641
85	154	1638
86	157	1652
87	159	1651
88	161	1648
89	162	1644
90	164	1642
91	166	1638
92	167	1634
93	169	1630
94	172	1640
95	174	1640
96	175	1634
97	177	1630
98	178	1626
99	180	1622
100	181	1618
101	183	1613
102	184	1608
103	187	1613
104	189	1613
105	190	1607
106	192	1603
107	193	1600
108	195	1596
109	196	1592
110	198	1588
111	199	1584
112	202	1587
113	204	1588
114	205	1584
115	207	1581
116	208	1575
117	210	1572
118	212	1570
119	213	1566
120	215	1564
121	217	1565
122	219	1567
123	221	1568
124	223	1567
125	226	1568
126	227	1563
127	229	1561
128	230	1559
129	233	1564
130	235	1561
131	236	1557
132	238	1553
133	239	1550
134	241	1547
135	242	1543
136	244	1540
137	246	1536
138	248	1540
139	250	1537
140	251	1533
141	252	1526
142	254	1524
143	255	1521
144	257	1517
145	258	1514
146	260	1512
147	263	1518
148	265	1518
149	267	1516
150	269	1515
151	271	1514
152	273	1512
153	274	1510
154	277	1514
155	280	1515
156	281	1513
157	283	1510
158	285	1508
159	286	1505
160	287	1499
161	289	1497
162	290	1494
163	294	1503
164	296	1501
165	298	1498
166	299	1494
167	301	1491
168	302	1489
169	304	1486
170	305	1482
171	308	1485
172	310	1484
173	312	1483
174	314	1481
175	318	1488
176	319	1485
177	320	1481
178	322	1477
179	324	1478
180	326	1475
181	327	1472
182	329	1469
183	330	1466
184	332	1463
185	333	1460
186	335	1457
187	337	1459
188	340	1460
189	341	1457
190	343	1455
191	345	1453
192	347	1451
193	348	1449
194	350	1447
195	353	1448
196	355	1448
197	356	1445
198	358	1443
199	360	1440
200	361	1438
201	363	1435
202	365	1433
203	366	1430
204	369	1434
205	371	1431
206	373	1429
207	374	1426
208	375	1422
209	377	1419
210	378	1416
211	380	1413
212	381	1411
213	384	1412
214	386	1411
215	388	1408
216	389	1405
217	390	1402
218	392	1399
219	393	1396
220	395	1393
221	396	1390
222	400	1394
223	401	1392
224	403	1389
225	404	1386
226	406	1384
227	408	1381
228	409	1379
229	411	1376
230	413	1377
231	415	1376
232	417	1375
233	419	1374
234	421	1373
235	424	1373
236	425	1370
237	427	1367
238	430	1371
239	432	1369
240	433	1366
241	435	1364
242	436	1361
243	438	1358
244	440	1355
245	441	1353
246	443	1351
247	445	1352
248	447	1349
249	449	1347
250	450	1344
251	452	1342
252	453	1339
253	455	1337
254	456	1334
255	458	1332
256	461	1332
257	462	1330
258	464	1327
259	465	1325
260	467	1323
261	468	1320
262	470	1318
263	472	1316
264	475	1317
265	476	1315
266	478	1313
267	480	1311
268	481	1308
269	483	1305
270	484	1303
271	486	1301
272	487	1298
273	490	1300
274	492	1297
275	493	1295
276	495	1292
277	496	1290
278	498	1288
279	500	1285
280	501	1283
281	503	1280
282	505	1280
283	507	1279
284	509	1278
285	511	1277
286	514	1277
287	515	1275
288	517	1272
289	520	1273
290	522	1272
291	523	1270
292	525	1268
293	527	1265
294	528	1263
295	530	1260
296	531	1258
297	533	1256
298	535	1256
299	537	1255
300	539	1252
301	541	1250
302	542	1248
303	544	1245
304	546	1244
305	548	1243
306	551	1244
307	553	1243
308	555	1241
309	556	1239
310	558	1237
311	560	1235
312	561	1233
313	563	1230
314	565	1230
315	568	1229
316	569	1227
317	571	1225
318	573	1223
319	574	1221
320	576	1218
321	577	1216
322	579	1214
323	582	1215
324	584	1213
325	585	1211
326	587	1208
327	588	1206
328	590	1204
329	591	1201
330	593	1199
331	595	1197
332	596	1195
333	598	1193
334	599	1190
335	601	1188
336	602	1185
337	604	1183
338	605	1180
339	607	1178
340	608	1176
341	610	1174
342	612	1172
343	613	1170
344	615	1168
345	617	1167
346	619	1165
347	621	1164
348	623	1163
349	626	1162
350	628	1161
351	629	1159
352	631	1157
353	633	1155
354	634	1153
355	636	1151
356	637	1148
357	639	1146
358	642	1147
359	643	1144
360	645	1142
